Con,Grn,Lab,Lib,Nat,Oth,Ref,Prev_con,Prev_lab,Prev_lib,Prev_ref,Prev_nat,Prev_oth,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Region,Total population,Latitude,Longitude
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.120063968507812,0.526190183294378,0.291967031615205,0.0,0.0,0.0617788165826054,0.172941613495324,0.0852416746787868,0.118007604230399,0.188051743728695,0.218446814089677,0.217310549777117,Wales,91527,54.9565368,-1.6890663
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.14584944280191,0.550989310893791,0.28216966113259,0.0,0.0,0.0209915851717079,0.181208450288078,0.0928842271138031,0.124390604225144,0.176146156497759,0.214930812035259,0.210439749839957,Wales,101534,55.1270903,-1.5099726
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.458579116824516,0.239618340344528,0.227233202509929,0.0,0.0,0.0745693403210265,0.158127761327866,0.0848130470114609,0.114740470208016,0.167776646522011,0.202925489683259,0.271616585247387,South East,107059,50.7834973,-0.6730718
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.172329376854599,0.656033630069238,0.171414441147379,0.0,0.0,0.0002225519287833,0.173317492487246,0.0875872328105188,0.132324311372463,0.178189551031818,0.221948224394237,0.206633187903717,East Midlands,100166,53.228666,-1.2912756
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.333365200764818,0.471247609942639,0.162786806883365,0.0,0.0,0.0326003824091778,0.208551690236045,0.102932785575716,0.126932293998367,0.193163563584652,0.187422642403813,0.180997024201406,North West,113918,54.6082822,-1.7299041
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.257606185359976,0.542172908926599,0.168641429862436,0.0,0.0,0.031579475850989,0.243831757544359,0.115067672581272,0.146451236886414,0.193733000906618,0.167886284160083,0.133030047921254,Wales,123536,53.5782863,-2.4300367
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.316781415622369,0.448907821090693,0.210188716627867,0.0,0.0,0.0241220466590717,0.1917268749364,0.0902309962348631,0.11886638852142,0.19327363386588,0.20687900681795,0.199023099623486,North West,98270,54.3146038,-1.96950644691168
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.0795592665010833,0.693124768799873,0.172964117740316,0.0,0.0,0.0543518469587274,0.186558036771088,0.0974512743628185,0.139597964175807,0.188649096504379,0.213919356111418,0.173824272074489,North West,101382,53.4506931,-2.9948834
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.464620501965528,0.310704566071968,0.100090716661627,0.0,0.0,0.124584215300877,0.167830001118867,0.0873232405821549,0.114158827427726,0.172228007814853,0.215424868102832,0.243035054953567,East Midlands,116189,52.9805831,-0.0302848
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.449546608632572,0.184959497037843,0.309998790956354,0.0,0.0,0.0554951033732317,0.174761548531887,0.104759678324294,0.133878810547971,0.219309893398167,0.187002057228352,0.180288011969329,South West,106938,50.7263763,-1.8608305
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.384133556976622,0.229007233462627,0.331009539784044,0.0,0.0,0.0558496697767061,0.148487702968635,0.17427556169034,0.144244131280253,0.184460133742457,0.170507643092305,0.17802482722601,South West,107224,50.72223285,-1.89366803185795
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.493053358962505,0.279009221635563,0.189444998661768,0.0,0.0,0.0384924207401639,0.199736684384794,0.0986745792354022,0.143939319505988,0.220851059648847,0.192534805804734,0.144263551420234,South East,101779,51.4143513,-0.7449925
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.162675799343121,0.43960362687028,0.312747382309182,0.0,0.0,0.0849731914774162,0.26214367352427,0.130655842409574,0.140177490923759,0.202853973376361,0.153968334005647,0.110200685760387,Yorkshire & the Humber,118992,53.5781957,-2.4141644
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.238479137160911,0.489268983549406,0.148436648872426,0.0,0.0,0.123815230417257,0.23631271622339,0.108747780564149,0.135042375208215,0.195767970566162,0.18203034906921,0.142098808368875,Yorkshire & the Humber,109259,55.11022305,-1.89590789893185
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.328328328328328,0.383438994550106,0.178205983761539,0.0,0.0,0.110026693360027,0.253380577644102,0.151308145523464,0.15120926208232,0.203510362160603,0.136360265337234,0.104231387252276,Yorkshire & the Humber,121355,53.9099363,-2.40008788748701
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.481036498246526,0.333852881326579,0.120968091094081,0.0,0.0,0.0641425293328137,0.184030345224948,0.0917558937917126,0.115187016853123,0.188620540644356,0.214798098621981,0.205608104863879,Eastern,104135,51.8780637,0.5537161
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.294374570307761,0.234581631415052,0.379504185707931,0.0,0.06687022283334,0.0246693897359162,0.156647185347731,0.0799096182675386,0.102830947052817,0.160318943228974,0.226464901036348,0.273828405066591,Wales,92055,51.9472048,-3.391696
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.169512328169321,0.497163430067641,0.291375736417194,0.0,0.0,0.0419485053458433,0.200356850791763,0.11989443164077,0.16748940599212,0.221857110995465,0.177800906995762,0.11260129358412,Wales,134512,51.2631549,-2.9347369
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.270386592065622,0.497886022430948,0.206941947897415,0.0,0.0,0.0247854376060153,0.181782136738709,0.129975836194836,0.178752309775494,0.22149905364664,0.164882435232773,0.123108228411548,Wales,133671,51.5688188,-0.2265437
