con,lab,lib,nat,ref,oth
0.149680582380033,0.570618531174169,0.166963799336404,0.0,0.0452136879116525,0.0675233991977417
0.521505953019414,0.0768422181701169,0.347999570953556,0.0,0.0436983803496728,0.0099538775072401
0.153550863723608,0.712476007677543,0.11746641074856,0.0,0.0,0.0165067178502879
0.567008957832641,0.0753768844221105,0.309220013109023,0.0,0.0291238802709198,0.0192702643653047
0.565121648779236,0.0929790054303673,0.259674177962116,0.0,0.0661051011245563,0.0161200667037242
0.488322142052801,0.296137965550319,0.158693748175335,0.0,0.0568461442215456,0.0
0.53047363717605,0.129915102770331,0.281456657730116,0.0,0.0421134941912421,0.0160411081322609
0.496245055107783,0.171077404751327,0.261323009879207,0.0,0.0631253834274713,0.0082291468342112
0.407173039266206,0.0479027105019066,0.473070184479027,0.0,0.0250231887045243,0.0468308770483355
0.424160809301714,0.0831855306663163,0.4528016816659,0.0,0.0313560620990168,0.008495916267052
0.357941785195297,0.483156457792065,0.11598925536131,0.0,0.0219516491258972,0.0209608525254304
0.364675107251229,0.433001988071571,0.155885738202365,0.0,0.0349482055038191,0.011488960971016
0.420944901624963,0.355048247629391,0.15182338443544,0.0,0.026651071473328,0.045532394836877
0.490688881250379,0.0949511697029743,0.35034474391896,0.0,0.0404391693794609,0.0235760357482257
0.413657817696612,0.407185390237588,0.121243502678589,0.0,0.0216876107780853,0.0362256786091251
0.547588459444747,0.144605334784976,0.218116494284159,0.0,0.0403266194882961,0.0493630919978225
0.564612067363099,0.113033941782222,0.27110673259229,0.0,0.0470091824974906,0.0042380757648983
0.399189097393224,0.346098327248026,0.177103676657893,0.0,0.0181497834762673,0.0594591152245903
0.321123016861866,0.450556524628291,0.129620400365479,0.0,0.0238184234570977,0.0748816346872663
0.587916761758543,0.10850847527957,0.24662337392892,0.0,0.0345857797879624,0.022365609245005
0.335923398635263,0.385362095531587,0.206515518379925,0.0,0.0378604446401056,0.034338542813119
0.470370927210636,0.146545243669323,0.302218690263966,0.0,0.0761399514594385,0.0047251873966365
0.561594272259127,0.107854585829967,0.279667668510826,0.0,0.036008959166874,0.0148745142332063
0.584771790685017,0.0669271440789985,0.305302853588368,0.0,0.027155742166239,0.0158424694813778
0.566627438555198,0.17571176390712,0.196781786086091,0.0,0.0389716199701262,0.0219073914814647
0.34404984986341,0.441085498837288,0.139119048156594,0.0,0.0206578917661933,0.0550877113765154
0.409532055412371,0.276155766752577,0.248187822164948,0.0,0.0316929768041237,0.0344313788659793
0.467318081053742,0.341820373200181,0.17321309429008,0.0,0.0176269289542216,2.15225017756064e-05
0.500553097345133,0.109633512889573,0.306488072335514,0.0,0.0467487495190457,0.0365765679107349
0.477696488294314,0.246425585284281,0.223160535117057,0.0,0.0527173913043478,0.0
0.433793131676968,0.153759567762269,0.376407023863125,0.0,0.0329294748475297,0.0031108018501084
0.529322484084489,0.20249588937139,0.22252202875332,0.0,0.0456595977908006,0.0
